year,gender
2015,1
2015,1
2015,0
2015,0
2015,0
2015,0
2015,0
2015,0
2016,1
2016,0
2016,0
2016,0
2016,0
2016,0
2016,0
2016,0
2017,1
2017,0
2017,0
2017,0
2017,0
2018,1
2018,1
2018,1
2018,1
2018,1
2018,1
2018,1
2018,1
2018,0
2018,0
2018,0
2018,0
2018,0
2018,0
2018,0
2019,1
2019,1
2019,1
2019,0
2019,0
2019,0
2019,0
2020,1
2020,1
2020,1
2020,1
2020,1
2020,1
2020,1
2020,1
2020,1
2020,1
2020,0
2020,0
2020,0
2020,0
2020,0
2020,0
2020,0
2020,0
2020,0
2020,0
2020,0
2020,0
2020,0
2021,1
2021,1
2021,1
2021,1
2021,1
2021,0
2021,0
2021,0
2021,0
2021,0
2022,1
2022,1
2022,1
2022,1
2022,1
2022,1
2022,1
2022,1
2022,1
2022,1
2022,1
2022,1
2022,1
2022,1
2022,1
2022,1
2022,1
2022,0
2022,0
2022,0
2022,0
2022,0
2022,0
2022,0
2022,0
2022,0
2022,0
2022,0
2023,1
2023,1
2023,1
2023,1
2023,1
2023,1
2023,1
2023,1
2023,1
2023,1
2023,1
2023,1
2023,1
2023,1
2023,0
2023,0
2023,0
2023,0
2023,0
2023,0
2023,0
2023,0
2023,0
2023,0
